"level","stab_lo","stab_hi","n_calib","acc_median","acc_q05","source"
"partition_nmi",0,0.1,0,NA,NA,"sim02_binary_2026-09-21"
"partition_nmi",0.1,0.2,901,0.1023,0.0739,"sim02_binary_2026-09-21"
"partition_nmi",0.2,0.3,1302,0.126,0.106,"sim02_binary_2026-09-21"
"partition_nmi",0.3,0.4,692,0.1543,0.1242,"sim02_binary_2026-09-21"
"partition_nmi",0.4,0.5,817,0.1718,0.1291,"sim02_binary_2026-09-21"
"partition_nmi",0.5,0.6,1303,0.2164,0.1506,"sim02_binary_2026-09-21"
"partition_nmi",0.6,0.7,894,0.6322,0.4944,"sim02_binary_2026-09-21"
"partition_nmi",0.7,0.8,466,0.7515,0.6353,"sim02_binary_2026-09-21"
"partition_nmi",0.8,0.9,832,0.875,0.8085,"sim02_binary_2026-09-21"
"partition_nmi",0.9,1,7643,1,0.934,"sim02_binary_2026-09-21"
"partition_ari",0,0.1,625,0.0261,0.0196,"sim02_binary_2026-09-21"
"partition_ari",0.1,0.2,1193,0.0622,0.0216,"sim02_binary_2026-09-21"
"partition_ari",0.2,0.3,1016,0.0777,0.0242,"sim02_binary_2026-09-21"
"partition_ari",0.3,0.4,1092,0.0634,0.0254,"sim02_binary_2026-09-21"
"partition_ari",0.4,0.5,1038,0.0975,0.0412,"sim02_binary_2026-09-21"
"partition_ari",0.5,0.6,633,0.4541,0.3536,"sim02_binary_2026-09-21"
"partition_ari",0.6,0.7,538,0.6196,0.52,"sim02_binary_2026-09-21"
"partition_ari",0.7,0.8,316,0.7744,0.6677,"sim02_binary_2026-09-21"
"partition_ari",0.8,0.9,733,0.8393,0.7753,"sim02_binary_2026-09-21"
"partition_ari",0.9,1,7666,1,0.9228,"sim02_binary_2026-09-21"
"node_jaccard",0,0.1,14552,0.0769,0.0241,"sim02_binary_2026-09-21"
"node_jaccard",0.1,0.2,107741,0.1053,0.0323,"sim02_binary_2026-09-21"
"node_jaccard",0.2,0.3,101032,0.1417,0.04,"sim02_binary_2026-09-21"
"node_jaccard",0.3,0.4,93717,0.1714,0.0426,"sim02_binary_2026-09-21"
"node_jaccard",0.4,0.5,79551,0.2105,0.0455,"sim02_binary_2026-09-21"
"node_jaccard",0.5,0.6,52454,0.3,0.05,"sim02_binary_2026-09-21"
"node_jaccard",0.6,0.7,36723,0.6667,0.0508,"sim02_binary_2026-09-21"
"node_jaccard",0.7,0.8,36785,0.8571,0.075,"sim02_binary_2026-09-21"
"node_jaccard",0.8,0.9,49404,0.9412,0.2667,"sim02_binary_2026-09-21"
"node_jaccard",0.9,1,616041,1,0.9257,"sim02_binary_2026-09-21"
