level,stab_lo,stab_hi,n_calib,acc_median,acc_q05,source
partition_nmi,0.0,0.1,0,NA,NA,sim06_2026-09-20_provisional
partition_nmi,0.1,0.2,897,0.106,0.0809,sim06_2026-09-20_provisional
partition_nmi,0.2,0.3,884,0.130,0.1106,sim06_2026-09-20_provisional
partition_nmi,0.3,0.4,478,0.197,0.1213,sim06_2026-09-20_provisional
partition_nmi,0.4,0.5,1343,0.168,0.1312,sim06_2026-09-20_provisional
partition_nmi,0.5,0.6,1299,0.218,0.1558,sim06_2026-09-20_provisional
partition_nmi,0.6,0.7,686,0.585,0.4809,sim06_2026-09-20_provisional
partition_nmi,0.7,0.8,703,0.722,0.5863,sim06_2026-09-20_provisional
partition_nmi,0.8,0.9,879,0.868,0.8040,sim06_2026-09-20_provisional
partition_nmi,0.9,1.0,7681,1.000,0.9451,sim06_2026-09-20_provisional
node_jaccard,0.0,0.1,14505,0.0746,0.0230,sim06_2026-09-20_provisional
node_jaccard,0.1,0.2,95999,0.1000,0.0286,sim06_2026-09-20_provisional
node_jaccard,0.2,0.3,92029,0.1316,0.0385,sim06_2026-09-20_provisional
node_jaccard,0.3,0.4,90349,0.1613,0.0417,sim06_2026-09-20_provisional
node_jaccard,0.4,0.5,83043,0.1935,0.0455,sim06_2026-09-20_provisional
node_jaccard,0.5,0.6,57944,0.2727,0.0476,sim06_2026-09-20_provisional
node_jaccard,0.6,0.7,38712,0.6000,0.0488,sim06_2026-09-20_provisional
node_jaccard,0.7,0.8,35963,0.8125,0.0567,sim06_2026-09-20_provisional
node_jaccard,0.8,0.9,46373,0.9280,0.1429,sim06_2026-09-20_provisional
node_jaccard,0.9,1.0,633083,1.0000,0.9371,sim06_2026-09-20_provisional
