"task","deployment","spec","algorithm","block","n","K","separation","p_in","p_out","p_switch","T_layers","dgp","balance","hetero","sim","B","R_truth","cov_P_mean","cov_P_same","cov_P_diff","width_P_mean","gate","meta_K_mean","true_K_mean","k_mae","kcount_repro_mean"
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",1,30,30,0.548571428571429,0.553962900505902,0.546002410606669,0.243306775742909,FALSE,2.5,3,1.16666666666667,0.438888888888889
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",2,30,30,0.467482993197279,0.585526315789474,0.409109394062627,0.227480724365604,FALSE,3.16666666666667,3,1.5,0.516666666666667
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",3,30,30,0.570204081632653,0.505471380471381,0.601125854443104,0.252645771004974,FALSE,2.66666666666667,3,1,0.527777777777778
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",4,30,30,0.460544217687075,0.593685085168259,0.395711106615416,0.222104545954184,FALSE,2.33333333333333,3,1.66666666666667,0.583333333333333
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",5,30,30,0.706666666666667,0.593180015860428,0.765948632974316,0.231911932427903,FALSE,2,3,1.33333333333333,0.605555555555556
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",6,30,30,0.650748299319728,0.683991683991684,0.634580384226491,0.235527100941758,FALSE,2.33333333333333,3,1.66666666666667,0.5
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",7,30,30,0.456054421768707,0.568,0.402613065326633,0.237212592609485,FALSE,2.5,3,1.5,0.466666666666667
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",8,30,30,0.458639455782313,0.591973244147157,0.394312222670432,0.246444485377998,FALSE,3,3,1,0.477777777777778
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",9,30,30,0.75891156462585,0.639932460953989,0.815498895804055,0.256175195179816,FALSE,1.83333333333333,3,1.16666666666667,0.511111111111111
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",10,30,30,0.52421768707483,0.701561840439004,0.43987151174463,0.212174944288648,FALSE,2.5,3,1.5,0.577777777777778
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",11,30,30,0.633605442176871,0.607983193277311,0.645875251509054,0.239808439930972,FALSE,2.83333333333333,3,1.16666666666667,0.477777777777778
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",12,30,30,0.649931972789116,0.574468085106383,0.6875254790053,0.254006619413716,FALSE,2.5,3,0.833333333333333,0.361111111111111
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",13,30,30,0.706122448979592,0.753070732740364,0.683904590098216,0.243452511419752,FALSE,2.5,3,0.833333333333333,0.433333333333333
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",14,30,30,0.597959183673469,0.544260906395595,0.623371417117659,0.23483957020326,FALSE,2.5,3,0.833333333333333,0.522222222222222
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",15,30,30,0.584897959183673,0.625887265135699,0.565085771947528,0.234023195861559,FALSE,2,3,1.33333333333333,0.572222222222222
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",16,30,30,0.564897959183673,0.592407175636212,0.551584898041591,0.241486234129652,FALSE,2.16666666666667,3,1.83333333333333,0.616666666666667
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",17,30,30,0.513741496598639,0.566389219183512,0.486223327118293,0.223430923251489,FALSE,2.66666666666667,3,1.33333333333333,0.494444444444444
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",18,30,30,0.730068027210884,0.633346503358356,0.780867399875493,0.254581735988202,FALSE,2.66666666666667,3,1,0.438888888888889
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",19,30,30,0.466938775510204,0.539462636439966,0.432165861513688,0.250967035333381,FALSE,2.66666666666667,3,0.666666666666667,0.461111111111111
8,"weighted_jaccard_leiden","weighted_jaccard","leiden","balanced",50,3,"moderate",0.3,0.05,0.05,6,"sbm","balanced","none",20,30,30,0.70952380952381,0.528641571194763,0.799633102323685,0.242269795893022,FALSE,1.83333333333333,3,1.5,0.561111111111111
